product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
Honey Bunches of oats honey roasted,"opost consumer brands, llc 6% 6% 10% ingredients: corn, whole grain wheat, sugar, whole grain rolled oats, rice, canola and/or soybean cil, wheat flour, malted barley flour, corn syrup, salt, molasses, honey, caramel color, barley malt extract, natural and artificial flavor, annatto extract (color), bht added to preserve freshness, vitamins and minerals: reduced iron, niacinamide (vitamin b3),  vitamin a palmitate, pyridoxine hydrochloride (vitamin b6), zinc oxide, thiamin mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid, vitamin d3, vitamin b12, contains wheat,",390.0,7.32,4.88,82.9,,,
Cereali con prebiotici benesì,N/A,390.0,13.0,12.0,44.0,,,
Pack de 6 minis céréales,"2x 30g NESTLE NESQUIK: Geröstete Getreidekost (CH: Getreidefrühstück) mit fettarmem Kakao/Rapeita kaakaomuropalloja vehnästä ja majssista sekä 7 vitamiinia, rautaa ja kalsiumia./ Spröda puffar av vete, majs och kakao med 7 vitaminer, jämn och kalcium. 2x 40g NESTLÉ LION: Geröstete Getreidekost (CH: Getreidefrühstück) mit 6,3% Karamellcreme und Schokolade/ Vehnämuroja kaakaolla ja karamellilla (6,3%)./ Veteflingor med kakao och kola (6,3%). 2x 30g NESTLE CINI MINIS: Geröstete Getreidekost (CH: Getreidefrühstück) mit Zimtgeschmack / Kanelinmakuisia täysjyvävehnä-riisimuroja sekä 7 vitamiinia ja rautaa. Fullkornsvete-risflingor med kanelsmak samt 7 vitaminer och järn. NESQUIK: V0085E22A CINI MINIS: V0068E23A LION: V0341E22A 200 g 6 Stück/ 6 Pieces Füllhöhenschwankungen sind transportbedingt./ Fluctuations in fill level are transport-related. Sanytetaan kuivassa ja villeassa./Forvaras torrt och svalt. Nestle. 53% Vollko Nestle Mit 7 Vitaminen & Mineralstoffen",423.0,6.2,10.3,73.8,,,
Kellogg's Choco Krispies &#034;chocos&#034,"Farine de blé, Chocolat en poudre (28%)(Sucre, Cacao en poudre), Sucre, Sirop de glucose, Sel, Cannelle, Arôme.",,9.0,2.5,78.0,,,
Healthy Grains Clusters Almond Butter Protein,"oats, tapioca syrup, cane sugar, soy protein isolate, brown rice, canola oil, honey, almond butter (almonds), oat flour, buckwheat, molasses, millet, amaranth, quinoa, vanilla extract, brown rice syrup, cinnamon, sea salt, vitamin e (tocopherols to maintain freshness),",385.0,15.4,7.69,63.1,en:nuts,,
NESQUIK,"MEZCLA DE CEREALES (MAIZ INTEGRAL (46.3%), SEMOLA DE MAIZ Y HARINA DE TRIGO INTEGRAL (3.3%)), AZUCAR, ALMIDON DE MAIZ, JARABE DE GLUCOSA, ACEITE DE PALMA, COCOA, JARABE DE AZUCAR  CARAMELIZADA, SAL YODADA, FOSFATO DICALCICO, FOSFATO TRISODICO Y SABORIZANTE NATURAL.
VITAMINAS Y MINERALES:
CALCIO, NIACINA, ZINC, HIERRO, ACIDO PANTOTENICO, VITAMINA D, ACIDO FOLICO, VITAMINA B1 (TIAMINA), VITAMINA B6 (PIRIDOXINA) Y VITAMINA B2 (RIBOFLAVINA).
CONTIENE GLUTEN. PUEDE CONTENER LECHE, SOYA Y SULFITOS.",,4.9,5.0,79.6,"en:gluten,en:milk,en:soybeans",,
,"Céréales cro torréfiée, beu SOURCE SANS G SUCRE SUPER NUTTY NON R ORICHE NGREDIENTS flocons davoine', pomme', beurre de cocohuete 13%, cacahuete grillée 8% , sucre de coco noix de coco rapée, huile de colza ingrédients issus de lagriculture biologique",351.0,11.9,18.6,35.8,,,
Cereales solubles,"Cebada (gluten) (35%), malta (gluten) (35%), achicoria (25%), centeno (gluten) (5%). ALÉRGENOS: _gluten.",338.0,3.8,0.1,73.0,en:gluten,,
Great Grains Cereal Crunchy Pecan,"Whole grain wheat, cane sugar, whole grain rolled oats, pecans, wheat flour, malted barley flour, rice flour, expeller pressed canola oil, salt, rice syrup, molasses. bht added to preserve freshness. vitamins and minerals: reduced iron, zinc oxide, niacinamide (vitamin b3), pyridoxine hydrochloride (vitamin b6), vitamin a palmitate, riboflavin (vitamin b2), thiamin mononitrate (vitamin b1), folic acid, vitamin b12, vitamin d3.",381.81818181818,9.0909090909091,10.909090909091,70.909090909091,"en:gluten,en:nuts",,
Super smooth porridge,"Oats (60%), Oat flour (38%), Calcium carbonate, Niacin, Iron, Riboflavin (B2), Vitamin B6, Thiamin (B1), Folic acid, Vitamin D, Vitamin B12.",374.0,12.0,8.7,58.0,,,
Rice Chex,"Whole Grain Rice, Rice, Sugar, Salt, Molasses Vitamin E (mixed tocopherols) Added  Vitamins and Minerals: Calcium Carbonate, Iron and Zinc (mineral nutrients), Vitamin C (sodium ascorbate), A B Vitamin (niacinamide), Vitamin B2 (riboflavin), Vitamin Be (pyridoxine hydrochloride), Vitamin B, (thiamin mononitrate), Vitamin A (palmitate), A B Vitamin (folic acid), Vitamin B12, Vitamin D3",375.0,7.5,2.5,87.5,,,
