product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
High Protein Shake,"skimmed milk (90%), milk protein powder (8%), water vanila flavouring, stabiliser (cellulose, carboxy methyl cellulose, carra peenan), sweetener (sucralose), colouring (riboflavin) high protein milk shake based on skimmed milk with milk protein powder and sweetener, ultra high temperature treated (uht), flavour vanilla, we recommend a varied diet and a healthy lifestyle keptunopened in a cold (5-25 °c),  dry place, best before end of/lot see imprint,",58.0,8.0,0.2,4.0,,,
Protein,N/A,44.117647058824,8.8235294117647,0.73529411764706,0.88235294117647,,,
High protein tropical drink,"Magermilch (Schweiz), Milchprotein (Schweiz), Rahm, Ananassaft 2.5% (Sri Lanka), Kokosnussextrakt 0.3% (Sri Lanka), Aroma, Zitronensaftkonzentrat, Säureregulator (E 331), Ver - dickungsmittel (E 407),Süssungs - mittel (E 952, E 950), Kochsalz, Lactase.",53.0,7.0,1.5,2.9,,,
Slim Shake Schoko/Nuss,N/A,367.0,38.0,7.6,30.0,,,
Vanilla pear protein shake,"Rasvaton MAITO jauheesta, MAITOproteiini, KERMA, aromit, stabilointiaine (karrageeni), happamuudensäätöaine (natriumsitraatti), makeutusaineet (asesulfaami K, sukraloosi), D-vitamiini.",67.0,8.2,1.5,5.0,en:milk,,
Fortisip Compact Protein Banana,Average contents per 100 ml: Energy Fat (35 En%) of which Saturates - Fibre (0 En%) Protein (24 En%) Salt Carbohydrate (41 En%) 25.1 g K of which CI - Sugars -- Lactose Ca P Vitamins Vit. A Vit. D Vit. E Vit. K Thiamin Riboflavin Niacin 1029 kJ Folic acid,245.0,14.6,9.6,25.1,,,
Smart protein - vanilla,N/A,307.14285714286,64.285714285714,0.71428571428571,7.5,,,
protein,"BioMax Whey True Protein (92%) (whey protein concentrate (milk], whey protein isolate (milk), hydrolysed whey protein (milk)), cocoa powder (5%), flavouring, magnesium citrate, thickener (cellulose gum), sodium chloride, sweeteners (sucralose, acesulfame K).",408.0,71.4,8.3,6.5,en:milk,,
Optifast HP High Protein Shake,N/A,84.388185654008,10.970464135021,2.5316455696203,5.0632911392405,,,
High protien milkshake,"dhindsaturates/dont satures/davon cesattigte festa narvan verzadigde vetzure gundrate/ducides/kohlenhydrate/koolhydraat of which sugars/dont sucres/davon zucker/waarvan suikers alimentaires/ballaststoffe/vezels 0,18 fore/fores 8,19 protein proteine eiweiss/eiwit sat/sel/salz/zout 0,109 intrinsic milk sugar only, contains naturally occurring sugar,/&quot;alleen inwendige melksuiker, bevat natuurlik voorkomend suiker,&quot;seulement le sucre intrinsèque du lait,  contient du sucre naturellement present/ &quot;nur intrinsischer milchzucker, enthält natürlich vorkommenden zucker protein contributes to the growth and maintenance of muscle mass n75 016 ngrenents: milk protein concentrate skimmed milk milk protein isolate, water, fat reduced cocoa powder flavourines stabiliser canggeran) acidity regulator (tri-sodium citrate), sweetener (sucralose) (nl) melleiwitconcentraat, magere melk mellewist commedemetveted untiel aroma stabilisator(carrageen),  zuurteregelaar (trinatriumcitraat), zoetstofisuralose pr puterede butte chage de tisodum), educoant (sucralose), (de) milcheiweißkonzentrat, magermilch milcheiweilisolat, wasser mes aneb fame isolatede protenede lait eau cacaoenpoudreaugrasréduit, arome, stabilisant canagfennel sadar hample) aroma stabilisator (carrageen), säureregulator (trinatriumcitrat), süßungsmittel sucralose auscen, for alegens see ingredients in bold, (nl) allergen: voor allergenen, zie vetgedrulde ingrediënten (fr)  allergenes parties degers voyez les ingredients en caracteres gras, (de) allergene: für allergene siehe fettgedruckte zutaten meertant notice: uhopened,",,,,,,,
Protein-Shake,N/A,,,,,,,
Plain Protein Milk,N/A,87.0,8.5,2.0,8.69999980926514,,,
Hyvin sokeroimaton proteiinijuoma minttu-kaakao,N/A,60.0,8.0,10.0,4.7,,,
Super Shake,"Cashewmilk (Filtered Water, Cashews*), Cane Sugar* Protein Blend* (Rice*, Pea&quot;, Chickpea*), Coconut Cream*, Natural Flavors*, Cocoa Powder, Chia Seeds*, Flaxseeds*, Vitamin ,  Mineral Blend, Acacia, Sea Salt, Calcium Phosphate, Ascorbic Acid (Vit C), DL-Alpha Tocopheryl Acetate (VitE), Potassium lodide (lodine), Palmitate, Ergocalciferol, Phytonadione, Calcium Pantothenate (Pantothenic Acid), Sodium Molybdate (Molybdenum), Chromium Chloride (Chromium), Biotin, Niacinamide, Cyanocobalamin, Pyridoxine Hydrochloride, Riboflavin",90.1408450704225,4.50704225352113,4.50704225352113,7.6056338028169,,,
High Protein Drink,N/A,62.0,10.0,0.314,4.57,,,
Strawberry Protein Drink,"Ingredients Skimmed Milk Concentrate, Skimmed Milk Powder, 0.1% Strawberry Powder, Maltodextrin, Flavouring, Sweetener: Sucralose; Colour: Carmines.",66.0,10.6,0.2,5.4,,,
Emmi protein caffè,N/A,55.0,7.69999980926514,1.10000002384186,3.70000004768372,,,
Protein Shake Hazelnut,N/A,57.0,5.0,1.9,3.6,,,
Protein juice,N/A,348.0,84.0,0.0,1.6,,,
Diet shake,"evešanas izlietot 6 mēnešu laikā. LT DIET SHAKE. Šokolado skonio. Su saldikliu. Maisto pakaitalas laikantis sero mažinimo dietos. Dietiniuose kokteiliuose ICONFIT yra daug baltymų ir skaidulų. Sudėtyje yra 23 vitamira mineralai, letai absorbuojamas energijos šaltinis Palatinos™, maistinės skaidulos inulinas, nebalus deginanti and nights aliosios arbatos ekstraktas. VARTOJIMAS: Sumaišykite 55 g (2 matavimo šaukštus) mišin patuve su 250 ml vandens ir iš karto suvartokite. Vartokite 2-4 porcijas per dieną kaip svorio metimo dietos dal Sekite papildomai skysčių. SUDEDAMOSIOS DALYS: nugriebto pieno milteliai, Palatinose izomaltuliz nigunta linalo rūgštis, augalinės skaidulos, žaliosios arbatos ekstraktas, saldiklis sukraloze (SPEJIMAS baltymų koncentratas, maltodekstrinas, kokosų pieno milteliai (kokosų pienas, maltodekstrinas nes), inulinas, hidrolizuotas kolagenas, vitaminų ir mineralinių medžiagų mišinys, kakavos miltelia kas nepakeičia įvairios ir subalansuotos mitybos. SAUGOJIMAS: Laikyti vėsioje, sausoje vietoje atokiau fengnu saulės spindulių. Atidarius suvartoti per 6 mėnesius. RU DIET SHAKE. CO BHYCOM WO С подсластителем. Заменитель еды с Диетические. коктейли ICONFIT содержа",378.18182,,,,,,
high protein nutritional shake Vanilla artificially flavored,"WATER, MILK PROTEIN CONCENTRATE, MILK PROTEIN ISOLATE, CONTAINS 2% UR LESS OF: CALCIUM CASEINATE, WHEY PROTEIN CONCENTRATE, SUNFLOWER OIL AND/OR CANOLA OIL, INULIN, CARRAGEENAN, CELLULOSE GEL, CELLULOSE GUM, SALT, MONO AND DIGLYCERIDES, NATURAL AND ARTIFICIAL FLAVORS, SUCRALOSE, ACESULFAME POTASSIUM, CHOLECALCIFEROL, CALCIUM PHOSPHATE, FERRIC ORTHOPHOSPHATE, POTASSIUM IODIDE, POTASSIUM PHOSPHATE, POTASSIUM HYDROXIDE, VITAMIN A PALMITATE, SODIUM ASCORBATE, SODIUM HEXAMETAPHOSPHATE, dl-ALPHA-TOCOPHERYL ACETATE, PHYLLOQUINONE, THIAMINE HYDROCHLORIDE, RIBOFLAVIN, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE, FOLIC ACID, CYANOCOBALAMIN, BIOTIN, d-CALCIUM PANTOTHENATE, MAGNESIUM PHOSPHATE, ZINC GLUCONATE, SODIUM SELENITE, COPPER CITRATE, MANGANESE SULFATE, CHROMIUM CHLORIDE, SODIUM MOLYBDATE",49.2,9.23,0.923,1.23,en:milk,,
Protein-Shake,"ont import bogatog 23.39% preparar una omia, 2.67% trozos de chocolate (azúcar, ins de suers, 36.7% aislado de nes de sejal, arome natural de vainill edulcorante (sucralose, acesulfamo K de, frutos de cáscara, altramuces y didnide de sumer Dry agitar 30 g de polvo (aucherades dosificadoras) en 250 m Una mentación variada y equilibrade a do si se cumple la preparación con egun w segun indicado, roducto cerrado, en un lugar seco, protegido de la luz y del cor Ingredient Proteine del latte (53.3% concentrato di proteine del siere di fette, 307% w d Whey Protein con gusto di biscotte Polvere di concentrato proteico per preperire un rece di proteine con gusto di biscotto con zucchero ed edulcorant selferesa/selfiti. acqua oppure latte scremato del siere di latte), 3,33% cacao magro in polvere, arome, 2.67% pezzi addensanti (gomma di xanthan), emulsionanti (lecitine), edulcorant (ou massa di cacao, burro di cacao, emulsionanti (lecitine di selal, arome p we K Può contenere tracce di crostacel, uova, pesce, frutti sguscio, ipini dre Informazioni per la consumazione: Sciogliere/ shakerare 30 g di prodotto in polvere (2 min 250 Nota importante: Una alimentación variada y equilibrada así como un estilo de vida saludable so prodotto può essere considerato povero di zuccheri e grassi soltanto rispettando la preperat Conservare il prodotto chiuso, in un luogo asciutto, protetto dalla luce e dal calore. importantes para la salud. con l'acqua, secondo le indicazioni valide per una porzione.",,,,,,,
NewGranny Protein Shake Chocolate,"96,9% mleko o obniżonej zawartości tłuszczu wzbogacone białkiem (0,1% tłuszczu, 8% białka), 1,8% białka mleka, 1,2% odtłuszczonego kakao w proszku, substancje słodzące: cyklaminian sodu, acesulfam K, sacharyn sodu, stabilizator: karagen.",63.0,25.0,0.5,5.0,,,
Coop 365 Protein Drink,"Koncentreret skummetmælk (Østrig), aroma, stabilisatorer (E 339, E 460, E 466), naturlig aroma, farve (E 150d), salt, sødestof (E 955), laktase",61.0,10.0,0.2,4.8,,,
