product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
Zero bar,,349.0,30.0,14.0,23.0,,,
Protein Choc Bar Chocolate Brownie Style,"Proteinmischung* (29%) (Reisprotein*, Erbsenprotein, Sojaprotein, Kürbiskemprotein), Reissirup&quot;, Schokoladenkuvertüre (15%) (Rohrzucker*, Kakaomasse*, Kakaobutter*), Dattelsirup*, Agavendicksaft, Kakao* stark entölt (4,5 %), Kokosnussöl*, Dattelpulver*, Protein-Reis-Crispies (2,5%) (Sonnenblumenprotein*, Reismehl*, Zucker*, Kakao* stark entölt (4,5 %), Meersalz, natürliches Vanille-Aroma), Kakaokernstückchen* roh (2,0%), natürliches Kakao-Aroma, Meersalz.",403.0,27.0,12.0,45.0,,,
Protein-Riegel Kakao,"Fructooligosaccharide, Milcheiweiß, Soja, Mohnöl, 2% Kakao, natürliches Aroma. Dieses Produkt kann Spuren enthalten von: Nüssen aller Art sowie Erdnüssen. * % der Referenzmenge für die tägliche Zufuhr (Erwachsene). Die Nährstoffbezugswerte (NRV - nutrient reference value) ergeben sich aus Anhang XII Teil A zur LMIV 4 008391 023956 1.2022 L267 11:00:28 rd für die Erhaltung normaler Knochen benötigt und ägt zu einer normalen Muskelfunktion bei. Proteinriegel, bitte kühl lager",302.0,30.0,8.0,12.0,,,
,"Milk_, Collagen_",379.0,50.0,10.7,32.0,en:milk,,
Crispy layered,N/A,345.0,27.0,14.0,37.0,,,
Bounty high protein bar,"Milchschokolade (27%) (Zucker, Kakaobutter, _Magermilchpulver_, Kakaomasse, Laktose und Protein aus Molke (_Milch_), Palmfett, Molkenpulver (_Milch_), _Milchfett_, Emulgatore (_Sojalecithin_), natürliches Vanillearoma), _Milchprotein_, Kollagen-Hydrolysat, Polydextrose, Feuchthaltemittel (Glycerin), Kokosraspeln (8%), Wasser, Palmfett, Aroma.",393.0,35.0,16.0,27.0,en:milk,,
Protein Bar Weiße Schokolade Crisp,N/A,378.0,50.0,12.5,30.0,,,
Crunchy Protein Bar Cashew Caramela,N/A,447.0,25.2,26.8,15.1,,,
High Protein Peanut-Caramel Flavour Bar,,338.0,40.0,9.8,22.0,,,
Coconut and Chocolate Vitamin & Protein Bar,"protéine de soja, chocoatavec reset ucorants édulcorants : de stéviol, inuline, maigre, naturel), a ent de charge (polydextrose), chi de soja saveur chocolat (protéine de soja, tapioca), ch%colat blanc avec édulcorant de cacao, poudre de lait entier, dextrine, lycosides de stévioll, inuline, oli ofructose, protéine de (de lait), poudre de e soja), arôme naturel, vanille , humectant (glycérol), de olioofructoset huile de cacao, huile de tournesol, arômes, cacao ,vitenine 93, vitamine E, acide , vitamine BI 2), émulsifiant (lécithine Avec édulcorants. Une consommation excessive peut avoir des effets laxatifs.",344.0,18.7,14.1,19.6,en:milk,,
Double chocolate chunk protein bar,"Protein blend (milk protein isolate, whey protein isolate), soluble corn fiber, almonds, water, erythritol, unsweetened chocolate, cocoa processed with alkali, natural flavors, cocoa butter. contains less than 2% of the following: sea salt, sunflower lecithin, steviol glycosides (stevia).",283.0,33.3,11.7,25.0,en:nuts,,
Classic Protein Bar - Chocolate Chip,,375.0,31.0,17.0,31.0,,,
